연번,특구 구분,기술명,발명의 명칭,출원번호,등록번호,기술보유기관,12대국가전략기술(대분류),12대국가전략기술(소분류),기술성숙도
108,군산,영상분석을 통한 작물 특성 조사 시스템 개발,작물 특성 분석 장치,10-2020-0183575,10-2483277,한국전자기술연구원,Ⅰ. 미래도전,1. 첨단바이오,5
109,홍릉,오믹스 분석을 통한 대장암 예후 진단 및 중독 특이적인 바이오마커,대장암 수술 전후의 모니터링을 위한 바이오마커 및 이의 용도,10-2016-0147640,10-1840001,한국과학기술연구원,Ⅰ. 미래도전,1. 첨단바이오,3
110,홍릉,옥시이미노메틸벤젠 유도체,옥시이미노메틸벤젠 유도체,10-2020-0079104,10-2209201,경북대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,4
111,홍릉,왕불류행 추출물을 유효성분으로 함유하는 골질환의 예방 및 치료용 조성물,왕불류행 추출물을 유효성분으로 함유하는 골질환의 예방 및 치료용 조성물,10-2019-0127076,10-2247107,경희대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,4
112,홍릉,용담 추출물의 분획물을 유효성분으로 포함하는 당뇨병 전증 또는 당뇨병의 예방 또는 치료용 조성물,용담 추출물의 분획물을 유효성분으로 포함하는 당뇨병 전증 또는 당뇨병의 예방 또는 치료용 조성물,10-2020-0057007,10-2189149,경희대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,4
113,홍릉,우유 엑소좀을 포함하는 피부 탄력 증진 및 주름 개선용 조성물,우유 엑소좀을 포함하는 피부 탄력 증진 및 주름 개선용 조성물,10-2019-0176590,10-2287153,경희대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,4
114,홍릉,원격 작동 겸자 조작 장치,원격 작동 겸자 조작 장치,10-2020-0015706,10-2321778,한국과학기술연구원,Ⅰ. 미래도전,1. 첨단바이오,4
115,홍릉,유도분극 탐사를 이용한 안정화제 적용 토양의 모니터링 방법,유도분극 탐사를 이용한 안정화제 적용 토양의 모니터링 방법,10-2020-0064866,10-2338724,한국과학기술연구원,Ⅰ. 미래도전,1. 첨단바이오,4
116,광주,유자 유래 항염증 화합물 및 이의 분리방법,유자 유래 항염증 화합물 및 이의 분리방법,10-2019-0060406,10-2283946,재단법인 전남바이오산업진흥원,Ⅰ. 미래도전,1. 첨단바이오,5
117,대구,유전자 다형성에 근거한 폐암 예후 진단용 다중 바이오마커,폐암환자의 예후진단용 다형성 마커 및 이를 이용한 폐암 예후 예측방법,10-2013-0128931,10-1676089,경북대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,5
118,홍릉,유전자 진단용 칩에 장착되는 카트리지,유전자 진단용 칩에 장착되는 카트리지,10-2020-0140057,10-2344815,경희대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,4
119,김해,의료용 마우스피스,의료용 마우스피스,10-2020-0066552,10-2364437,인제대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,4
120,김해,의료용 소변 채집 및 자동 잠금 장치,의료용 소변 채집 장치,10-2017-0000179,10-1831101,인제대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,4
121,광주,이산화탄소 전환 바이오폴리머 생산기술,중성 pH 영역에서 활성화 가능한 애노드 및 이의 제조방법 그리고 이를 포함하는 미생물 전기합성 시스템,10-2020-0131938,10-2437608,한국에너지기술연구원,Ⅰ. 미래도전,1. 첨단바이오,3
122,홍릉,인공지능 기반의 의료 영상 합성 장치 및 방법,인공지능 기반의 의료 영상 합성 장치 및 방법,10-2020-0128003,10-2456467,고려대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,4
123,홍릉,인공지능을 이용한 안면부 골절 판독 장치 및 방법,인공지능을 이용한 안면부 골절 판독 장치 및 방법,10-2020-0186799, ,고려대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,3
124,창원,인후두 이상감증 치료기 기술,경부 미주신경의 경피적 전기자극을 이용한 인후두 이상감증 치료기,10-2017-0034624,10-1910732,강원대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,5
125,춘천,일엽초 추출물을 포함하는 피부 미백용 조성물 제조기술,일엽초 추출물을 포함하는 피부 미백용 조성물,10-2019-0135123,10-2285926,강원대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,5
126,춘천,임신중독증의 예측 또는 진단을 위한 바이오마커로서의 miRNA-2014-3p 및 miRNA-1209-3p 제조기술,임신중독증의 예측 또는 진단을 위한 바이오마커로서의 miRNA-214-3p 및 miRNA-1290-3p,10-2020-0047578,10-2326813,강원대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,5
127,김해,자궁 경부용 열상 클립 및 이를 이용하는 클립 어플리케이터,자궁 경부용 열상 클립 및 이를 이용하는 클립 어플리케이터,10-2020-0029102,10-2312216,인제대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,4
128,홍릉,장내 마이크로바이옴을 이용한 인지장애 진단 방법,장내 마이크로바이옴을 이용한 인지장애 진단 방법,10-2020-0073467,10-2327082,경희대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,4
129,홍릉,전기 자극 장치,전기 자극 장치,10-2019-0053286,10-2233408,고려대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,4
130,홍릉,전층 인공피부 및 미세인공혈관 제작 방법,창상 치료를 위한 인공 진피층과 표피층 제작 방법 및 이를 활용한 전층 인공피부 제작,10-2022-0179776,,고려대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,3
131,대구,정전기적 대전을 활용한 액적 크기 분포 조절이 가능한 하이브리드 액적 제조 기술,하이브리드 액적 제조장치 및 제조방법,10-2016-0176326,10-1896810,영남대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,5
132,춘천,조류인플루엔자 확산 방지 기술,조류인플루엔자 확산 방지 장치 및 방법,10-2020-0080691,10-2423343,강원대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,4
133,홍릉,조직 특이적 핵산 약물 전달 플랫폼,삼차원 자기조립 핵산 나노입자 및 이의 이용,10-2019-0138846,10-2315342,한국과학기술연구원,Ⅰ. 미래도전,1. 첨단바이오,3
134,진주,주름개선용 화장료 조성물,주름개선용 화장료 조성물,10-2014-0104673,10-1688691,제주대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,3
135,홍릉,주주보사이드 A를 유효성분으로 함유하는 대사성 질환의 예방 또는 치료용 약학적 조성물,주주보사이드 A를 유효성분으로 포함하는 대사성 질환의 예방 또는 치료용 조성물,10-2020-0037837,10-2331257,경희대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,4
136,춘천,즉시 사용가능한 마이크로에멀젼 기반의 비강내 면역화용 면역보강제 조성물 제조기술,즉시 사용가능한 마이크로에멀젼 기반의 비강내 면역화용 면역보강제 조성물,10-2015-0127387,10-1743142,강원대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,5
137,홍릉,증강 현실을 이용한 수술 가이드 방법 및 장치,증강 현실을 이용한 수술 가이드 방법 및 장치,10-2020-0039897,10-2378114,고려대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,4
138,청주,지방세포 분화 조절을 통한 비만 치료 및 개선을 위한 앱타머 기반 치료제,PPARγ 단백질에 특이적으로 결합하는 RNA 앱타머 및 상기 RNA 앱타머의 용도,10-2019-0136215,10-2221850,충북대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,4
139,홍릉,지방줄기세포 및 간세포를 포함하는 3차원 세포집합체의 제조방법,지방줄기세포 및 간세포를 포함하는 3차원 세포집합체의 제조방법,10-2020-0019168,10-2264117,한국과학기술연구원,Ⅰ. 미래도전,1. 첨단바이오,4
140,군산,천연 추출물을 활용한 바이오 소재 개발,히어리 잎 추출물 또는 이로부터 분리된 페놀성 화합물을 유효성분으로 포함하는 항염증 또는 항산화 조성물,10-2012-0007235,10-1402371,중앙대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,5
141,춘천,천연물 유래 수면 유도 및 면역 증강용 조성물 제조기술,천연물 유래 수면 유도 및 면역 증강용 조성물,10-2020-0026015,10-2322023,강원대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,5
142,홍릉,체내 부피 유지 제제 및 이의 제조방법,체내 부피 유지 제제 및 이의 제조방법,10-2019-0073898,10-2264957,고려대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,4
143,홍릉,체액 배출량 측정 장치,체액 배출량 측정 장치,10-2019-0116718,10-2241002,고려대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,4
144,춘천,"체외진단 시약용 형광 실리카 나노입자, 이의 제조 방법 및 이를 이용하는 분자 면역 진단 키트","체외진단 시약용 형광 실리카 나노입자, 이의 제조 방법 및 이를 이용하는 분자 면역 진단 키트",10-2015-0188376,10-1743150,강원대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,6
145,구미,초음파 치료기 개발을 위한 영상시스템 기술,고주파 영상 초음파 시스템을 위한 파워 앰프 선형자,10-2015-0141072,10-1670336,금오공과대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,6
146,전북,초음파를 이용한 갈조류 추출물을 이용한 건강기능식품 개발,초음파를 이용한 갈조류 추출물의 제조방법,10-2014-0081287,10-1744082,한국식품연구원,Ⅰ. 미래도전,1. 첨단바이오,5
147,전북,축엽자소 추출물 및 백출 추출물을 활용한 관절염 치료제 개발,식물의 추출 복합물을 포함하는 항염 조성물 및 염증성 질환 치료용 조성물,10-2016-0120830,10-1846493,한국원자력연구원,Ⅰ. 미래도전,1. 첨단바이오,4
148,안산,치과용 임플란트 및 이의 풀림 측정 방법,치과용 임플란트 및 이의 풀림 측정 방법,10-2020-0153256,10-2430329,한양대학교 에리카산학협력단,Ⅰ. 미래도전,1. 첨단바이오,5
149,홍릉,카다베린 고생성능을 가지는 형질전환 메탄자화균 및 이의 용도,카다베린 고생성능을 가지는 형질전환 메탄자화균 및 이의 용도,10-2019-0129160,10-2281525,경희대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,4
150,춘천,쿠마린 유도체를 포함하는 알레르기성 염증성 질환의 예방 또는 치료용 약학 조성물 제조기술,쿠마린 유도체를 포함하는 알레르기성 염증성 질환의 예방 또는 치료용 약학 조성물,10-2017-0176171,10-2053748,강원대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,5
151,홍릉,큰괭이밥 추출물을 포함하는 췌장암 예방 또는 치료용 조성물,큰괭이밥 추출물을 포함하는 췌장암 예방 또는 치료용 조성물,10-2020-0012075,10-2305178,경희대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,4
152,춘천,태양광열 복합 시스템 기술,원추형 반사판을 이용한 태양광열 복합 시스템,10-2016-0135904,10-1847632,강원대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,4
153,홍릉,택란 추출물을 유효성분으로 포함하는 아토피 피부염의 예방 또는 치료용 조성물,택란 추출물을 유효성분으로 포함하는 아토피 피부염의 예방 또는 치료용 조성물,10-2018-0120220,10-2144566,경희대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,4
154,홍릉,택란 추출물을 포함하는 골 질환 예방 또는 치료용 조성물,택란 추출물을 포함하는 골 질환 예방 또는 치료용 조성물,10-2018-0040306,10-2113099,경희대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,4
155,홍릉,토양내 화학 사고 진단 방법,토양내 화학 사고 진단 방법,10-2020-0068287,10-2376566,한국과학기술연구원,Ⅰ. 미래도전,1. 첨단바이오,4
156,춘천,퇴행성뇌질환인 파킨슨병의 miRNA 소재 안약 개발,파킨슨병 바이오마커로서의 miR501 및 이를 이용한 진단키트,10-2017-0132870,10-2062787,국민대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,4
157,구미,파우더형 유착 방지제 제조 기술,생체적합성 고분자를 포함하는 파우더형 유착방지제 및 그의 제조방법,10-2021-0033366, ,금오공과대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,6
158,광주,패드타입의 압력변화 감지 센서를 통한 생체정보 획득장치,패드타입의 압력 변화 감지센서를 이용한 생체정보 모니터링 방법 및 시스템,10-2018-0159824,10-2073492,한국전자기술연구원,Ⅰ. 미래도전,1. 첨단바이오,8
159,홍릉,"폐에서 미세먼지의 노출을 확인하기 위한 testican-1의 검출용 조성물, 키트 및 이를 이용한 방법","폐에서 미세먼지의 노출을 확인하기 위한 Testican-1의 검출용 조성물, 키트 및 이를 이용한 방법",10-2020-0108049,10-2380270,한국과학기술연구원,Ⅰ. 미래도전,1. 첨단바이오,3
160,김해,폐질환 예방과 진단 및 치료 관리 장치,폐질환 예방과 진단 및 치료 관리 장치,10-2020-0092771,10-2404270,인제대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,4
161,대구,표고버섯 및 고로쇠 잎 추출물을 포함하는 항노화 활성을 갖는 건강기능성 무스케이크 조성 기술,표고버섯 추출물 및 고로쇠 잎 추출물을 포함하는 항노화 활성을 갖는 조성물,10-2018-0115685,10-2128168,대구한의대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,5
162,홍릉,"표면개질-나노입자를 포함하는 수은 이온 또는 비소 이온 검출용 비색 센서, 이를 이용한 수은 이온 또는 비소 이온 검출 방법 및 이의 제조방법","표면개질-나노입자를 포함하는 수은 이온 또는 비소 이온 검출용 비색 센서, 이를 이용한 수은 이온 또는 비소 이온 검출 방법 및 이의 제조방법",10-2020-0001326, ,한국과학기술연구원,Ⅰ. 미래도전,1. 첨단바이오,4
163,전북,풀림 회전에 대한 저항성이 강화된 골표면 유착형 고정원 교정장치 개발,치과 교정용 앵커링 장치 및 시스템,10-2019-0033093, ,이화여자대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,6
164,춘천,프린터 헤드의 구동 제어 기술,소형 디지털 프린터의 축 구동을 위한 프린터 헤드 및 프린터 헤드의 구동 제어 방법,10-2020-0009166,10-2302614,강원대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,4
165,광주,플라스틱 분해 활성을 갖는 신규 미생물 및 이의 용도,플라스틱 분해 활성을 갖는 신규 미생물 및 이의 용도,10-2021-0043089,10-2383008,전남대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,3
166,청주,피부 광노화 예방 화장료 조성물,들깨박 유래 비검화물을 유효성분으로 함유하는 피부 광노화 예방 또는 개선용 화장료 조성물,10-2019-0035768,10-2206085,충북대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,4
167,구미,피부 내로의 약물 전달효율을 증가시키는 LED 마스크팩 조성물,금 나노로드를 함유하는 패치 조성물,10-2017-0007174,10-1819713,금오공과대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,4
168,홍릉,하지 운동 능력 평가 방법 및 시스템,하지 운동 능력 평가 방법 및 시스템,10-2020-0095415,10-2377952,한국과학기술연구원,Ⅰ. 미래도전,1. 첨단바이오,3
169,홍릉,한약재의 혼합 추출물을 유효성분으로 포함하는 전립선 비대증의 예방 또는 치료용 조성물,한약재의 혼합 추출물을 유효성분으로 포함하는 전립선 비대증의 예방 또는 치료용 조성물,10-2020-0047974,10-2369473,경희대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,4
170,춘천,항균 기능을 가진 친환경 여성용품 개발,건조지력증강제를 이용한 미세섬유를 다량 함유한 펄프의 종이 제조 방법,10-2015-0122800,10-1751273,강원대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,5
171,춘천,"항균성 금속 나노입자가 흡착된 나노섬유를 함유한 알긴산 히드로겔 및 이의 용도, 및 이를 제조하는 방법","항균성 금속 나노입자가 흡착된 나노섬유를 함유한 알긴산 히드로겔 및 이의 용도, 및 이를 제조하는 방법",10-2018-0094008,10-2089086,강원대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,5
172,춘천,항산화 효소와 진세노사이드 함량이 증진된 새싹삼 및 그 제조 방법,항산화 효소와 진세노사이드 함량이 증진된 새싹삼 및 그 제조방법,10-2021-0094937,10-2312525,강원대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,5
173,광주,항염증 WiKim0148,항염증 효과가 뛰어난 신규한 락토바실러스 파라카제이 아종 톨러란스 WiKim0148 및 이의 용도 ,10-2021-0174533,,한국식품연구원세계김치연구소,Ⅰ. 미래도전,1. 첨단바이오,5
174,광주,항염증 활성을 나타내는 켐페롤-3-오-글루코실-6¨-오-펜타디오닉산 화합물 및 이를 유효성분으로 포함하는 항염증용 조성물,항염증 활성을 나타내는 켐페롤-3-오-글루코실-6¨-오-펜타디오닉산 화합물 및 이를 유효성분으로 포함하는 항염증용 조성물,10-2019-0135106,10-2272653,재단법인 전남바이오산업진흥원,Ⅰ. 미래도전,1. 첨단바이오,5
175,광주,항우울제 치료반응 및 급성기예후 예측용 검사방법,우울증환자에 대한 항우울제 치료반응 및 급성기예후 예측용 검사방법 및 상기 검사방법에 사용되는 검사키트,10-2021-0192972,,전남대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,4
176,대구,향균 활성을 나타내는 김추출물을 유효성분으로 함유하는 기초화장품 스킨케어 제조기술,항균 활성을 나타내는 김 추출물을 유효성분으로 함유하는 화장료 조성물,10-2010-0026211,10-1203273,대구한의대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,5
177,춘천,헴프씨드 추출물을 포함하는 항알레르기성 또는 항산화용 조성물 제조방법,헴프씨드 추출물을 포함하는 항알레르기성 또는 항산화용 조성물,10-2020-0039373,10-2403795,강원대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,5
178,홍릉,형광세기가 향상된 애기장대 유래 플라빈 모노뉴클레오타이드 결합 단백질 변이체들,형광세기가 향상된 애기장대 유래 플라빈 모노뉴클레오타이드 결합 단백질 변이체들,10-2019-0120443,10-2210877,고려대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,4
179,대구,"혼합 한약재 추출물을 포함하는 탈모방지, 모발흑화, 발모용 모발케어 화장품 제조 기술","혼합 한약재 추출물을 포함하는 탈모방지, 모발흑화, 발모용 및 전립선 비대증 치료용 약학적 조성물 및 그의 제조방법",10-2017-0007311,10-1895548,대구한의대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,5
180,광주,홈IoT 센서데이터 활용 독거세대 생활패턴 인식 기술,개인 맞춤형 케어 서비스를 위한 FSM 모델 기반의 실시간 활동 정보 예측 방법 및 시스템,10-2020-0157883, ,한국전자통신연구원,Ⅰ. 미래도전,1. 첨단바이오,7
181,춘천,홍삼성분(진세노사이드 Rg5)을 활용한 혈관형성 촉진재,진세노사이드 Rg5를 유효성분으로 함유하는 혈관형성 촉진용 조성물,10-2014-0102307,10-1723104,강원대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,5
182,창원,환경 분류 보청기 및 이를 이용한 환경 분류 방법,환경 분류 보청기 및 이를 이용한 환경 분류 방법,10-2018-0054200,10-2044962,한국전기연구원,Ⅰ. 미래도전,1. 첨단바이오,5
183,춘천,황백 추출물을 유효성분으로 포함하는 산화아연 저감 사료용 보조제 조성물 제조기술,황백 추출물을 유효성분으로 포함하는 산화아연 저감 사료용 보조제 조성물,10-2019-0152075,10-2321162,강원대학교 산학협력단,Ⅰ. 미래도전,1. 첨단바이오,5
184,광주,히알루론산 이용 pH 감응 약물전달용 콘택트렌즈 개발,pH 감응성 이민결함 히알루론산을 이용한 약물전달용 하이드로겔 콘택트렌즈와 이의 제조 방법,10-2021-0168370,,재단법인 전남바이오산업진흥원,Ⅰ. 미래도전,1. 첨단바이오,5
185,진주,UAV를 활용한 물류시스템 구축 기술,무인 항공 장치를 이용한 배송지 결정 방법 및 시스템,10-2016-0057607,10-1829125,한국과학기술원,Ⅰ. 미래도전,2. 우주항공·해양,4
186,군산,곡가공 작업 자동화를 위한 작업 정보 수집 및 분석 시스템과 그 방법,곡가공 작업 자동화를 위한 작업 정보 수집 및 분석 시스템과 그 방법,10-2020-0047281,10-2314424,재단법인 건설기계부품연구원,Ⅰ. 미래도전,2. 우주항공·해양,6
187,진주,공작물 정렬장치,핀의 높이 변경 장치,10-2018-0078310,10-2069376,경상국립대학교 산학협력단,Ⅰ. 미래도전,2. 우주항공·해양,4
188,광주,광촉매 모듈 및 이를 이용한 공기정화장치,광촉매 모듈 및 이를 이용한 공기정화장치,10-2019-0117895,10-2281576,한국광기술원,Ⅰ. 미래도전,2. 우주항공·해양,5
189,진주,내열충격성이 향상된 세라믹 코팅 기술,내열충격성이 향상된 고온내열 세라믹 코팅 조성물 및 코팅 방법,10-2017-0059676,10-2001537,한국세라믹기술원,Ⅰ. 미래도전,2. 우주항공·해양,4
190,진주,다각적 판별 시스템을 이용한 드론 탐지 기술,드론의 다각적 판별 시스템 및 그 방법,10-2017-0073669,10-2010130,한국과학기술원,Ⅰ. 미래도전,2. 우주항공·해양,4
191,진주,단열 및 내충격성을 갖는 강화 단열재 기술,다층 강화 단열재,10-2016-0051339,10-1787495,한국과학기술원,Ⅰ. 미래도전,2. 우주항공·해양,4
192,진주,데이터 재생 장치 및 방법,데이터 재생 장치 및 방법,10-2015-0047625,10-1698791,경상국립대학교 산학협력단,Ⅰ. 미래도전,2. 우주항공·해양,5
193,진주,두께방향 물성이 향상된 복합재료 구조,z-방향 섬유로 보강된 복합재료 스티칭 구조,10-2015-0159321,10-1727470,경상국립대학교 산학협력단,Ⅰ. 미래도전,2. 우주항공·해양,5
194,진주,드론용 하이브리드 전력 장치 운용 기술,직렬 하이브리드 전력 장치 및 운용 방법,10-2019-0023341,10-2004123,한국항공우주연구원,Ⅰ. 미래도전,2. 우주항공·해양,4
195,진주,드론을 활용한 관제시스템 구축 기술,산업재해 대응을 위한 드론 운용 방법 및 시스템,10-2015-0165797,10-1788411,울산대학교 산학협력단,Ⅰ. 미래도전,2. 우주항공·해양,4
196,진주,드론을 활용한 메탄가스 측정 기술,무인항공기를 이용한 대기 중 메탄가스 배출량 측정방법,10-2019-0046284,10-2136843,서울대학교 산학협력단,Ⅰ. 미래도전,2. 우주항공·해양,4
197,진주,드론의 군집비행 제어 기술,무인 비행체의 실시간 군집비행 제어시스템 및 그 방법,10-2019-0106611,10-2241000,경상국립대학교 산학협력단,Ⅰ. 미래도전,2. 우주항공·해양,4
198,진주,방제빙 허니콤 코어 복합재 및 이의 제조 방법,방제빙 허니콤 코어 복합재 및 이의 제조 방법,10-2020-0108658,10-2378169,경상국립대학교 산학협력단,Ⅰ. 미래도전,2. 우주항공·해양,5
199,진주,복합재료 성형용 필러 및 이를 이용한 복합재료,복합재료 성형용 필러 및 이를 이용한 복합재료,10-2015-0107154,10-1722323,경상국립대학교 산학협력단,Ⅰ. 미래도전,2. 우주항공·해양,4
200,진주,복합재료 스티칭 용 재봉틀,복합재료 스티칭 용 재봉틀,10-2015-0191306,10-1782421,경상국립대학교 산학협력단,Ⅰ. 미래도전,2. 우주항공·해양,5
201,진주,섬유의 손상을 최소화한 복합재료 z-방향 강도 보강 장치,복합재료 스티칭 장치,10-2017-0173563,10-1941790,경상국립대학교 산학협력단,Ⅰ. 미래도전,2. 우주항공·해양,5
202,진주,에어로젤을 활용한 단열재 제조 기술,유연성을 갖는 실리카 에어로젤 제조방법,10-2009-0011931,10-1064869,한국세라믹기술원,Ⅰ. 미래도전,2. 우주항공·해양,5
203,청주,자율 드론 비행 안전성 검사를 위한 위협 분석 기법 및 시스템,자율 드론 비행 안전성 검사를 위한 위협 분석 기법 및 시스템,10-2019-0139526,10-2259855,충북대학교 산학협력단,Ⅰ. 미래도전,2. 우주항공·해양,4
204,진주,전도성 혼합액을 이용하는 전도성 페인트 도막의 형성방법 및 이에 따라 형성된 전도성 페인트 도막,전도성 혼합액을 이용하는 전도성 페인트 도막의 형성방법 및 이에 따라 형성된 전도성 페인트 도막,10-2019-0062939,10-2270647,경상국립대학교 산학협력단,Ⅰ. 미래도전,2. 우주항공·해양,5
205,진주,초경합금 구조물을 제작하는 분말 사출 성형 방법 및 그 시스템,초경합금 구조물을 제작하는 분말 사출 성형 방법 및 그 시스템,10-2011-0033486,10-1789230,경상국립대학교 산학협력단,Ⅰ. 미래도전,2. 우주항공·해양,4
206,진주,탄소나노물질 함유 고분자 분산 용액의 제조 방법,탄소나노물질 함유 고분자 분산 용액의 제조 방법,10-2017-0152014,10-1943550,울산과학기술원,Ⅰ. 미래도전,2. 우주항공·해양,5
207,진주,항공기 날개의 방제빙 시스템 및 이를 이용한 방제빙 방법,항공기 날개의 방·제빙 시스템 및 이를 이용한 방·제빙 방법,10-2020-0010321,10-2315288,경상국립대학교 산학협력단,Ⅰ. 미래도전,2. 우주항공·해양,5
208,대구,니켈-철 합금 수소 발생 전극을 활용한 가정용/휴대용 수소발생장치 제조 기술,니켈-철 합금 수소 발생 전극 및 이의 제조방법,10-2021-0024520, ,영남대학교 산학협력단,Ⅰ. 미래도전,3. 수소,5
209,대구,소요 에너지를 저감한 습식 이산화탄소 포집 설비 기술,습식 이산화탄소 포집 설비,10-2016-0120140,10-1874068,한국전력기술 주식회사,Ⅰ. 미래도전,3. 수소,6
210,구미,"수소 생성 반응용 촉매 제조방법, 그에 의하여 제조된 촉매 및 그 촉매를 포함하는 수소 생성 반응전해액","수소 생성 반응용 촉매 제조방법, 그에 의하여 제조된 촉매 및 그 촉매를 포함하는 수소 생성 반응전해액",10-2019-0011442,10-2160870,금오공과대학교 산학협력단,Ⅰ. 미래도전,3. 수소,4
211,진주,수소연료전지의 음이온 교환막 제조 기술,"음이온 교환막, 이의 제조방법 및 이를 포함하는 알칼리 음이온 교환막 연료전지",10-2019-0050356,10-2260088,경상국립대학교 산학협력단,Ⅰ. 미래도전,3. 수소,4
212,안산,수처리 장치 및 수처리 방법,수처리 장치 및 수처리 방법,10-2018-0161907,10-2250566,한양대학교 에리카산학협력단,Ⅰ. 미래도전,3. 수소,5
213,창원,액체 수소 제로보일오프 장기 저장기술,응축형 수소 액화 장치,10-2020-0151559,10-2469622,한국전기연구원,Ⅰ. 미래도전,3. 수소,5
214,대구,음극 활물질 분리 방법을 적용한 리튬전지 재활용 기술,음극 활물질 분리 방법,10-2019-0153120,10-2104562,한국지질자원연구원,Ⅰ. 미래도전,3. 수소,5
215,울주,환원된 그래핀옥사이드 및 이의 제조방법,환원된 그래핀옥사이드 및 이의 제조방법,10-2020-0087692,10-2360891,울산과학기술원,Ⅰ. 미래도전,3. 수소,5
216,구미,네트워크상에서 개인정보를 확인하는 방법 및 시스템,인증 체계 및 유통 체계 기반의 개인 정보 확인 방법 및 시스템,10-2016-0042667,10-1796982,금오공과대학교 산학협력단,Ⅰ. 미래도전,4. 사이버 보안,4
217,울주,디더링 마스크 기반 홀로그램 색상 지정 방법,디더링 마스크에 기반한 홀로그램 색상 지정 시스템 및 홀로그램 색상 지정 방법,10-2021-0001680, ,울산과학기술원,Ⅰ. 미래도전,4. 사이버 보안,5
218,광주,심전도를 이용한 개인 인증 방법,심전도를 이용한 개인 인증 방법,10-2019-0160437,10-2276606,한국전자기술연구원,Ⅰ. 미래도전,4. 사이버 보안,5
219,안산,암표 방지를 위한 모바일 티켓 생성 방법 및 모바일 티켓 검증 시스템,암표 방지를 위한 모바일 티켓 생성 방법 및 모바일 티켓 검증 시스템,10-2019-0100547,10-2207466,한양대학교 에리카산학협력단,Ⅰ. 미래도전,4. 사이버 보안,5
220,구미,태양광 모니터링 시스템 개발을 위한 요소기술,공개키 암호 알고리즘을 이용한 암호화/복호화 방법 및 장치,10-2018-0045856,10-2022333,금오공과대학교 산학협력단,Ⅰ. 미래도전,4. 사이버 보안,한국-3 | 미국-0 | 일본-0 | 중국-0 | EP-0 | PCT-0 | 기타-0
