순번,기관명,행사명,주관기관명,행사지역,행사장소,기술 분류,해시태그,행사기간-시작일,행사기간-종료일
621,연구개발특구진흥재단,부산대 AI 콜로퀴엄2023 & 채용설명회,부산대학교 인공지능융합연구센터,부산특구,부산대학교 제6공학관 6203호 및 온라인(Zoom),"IT,기타",#콜로퀴엄,2023-09-22,2023-09-22
622,연구개발특구진흥재단,2023 대전 K-힙합페스티벌,"대전광역시, 한국힙합문화협회",대덕특구,우리들공원,기타,#힙합 #페스티벌,2023-10-06,2023-10-08
623,연구개발특구진흥재단,동구동락 축제,대전동구,대덕특구,소제동 동광장로 및 대동천 일원,기타,#동구,2023-10-06,2023-10-08
624,연구개발특구진흥재단,제8회 세계과학문화포럼 ,"대덕연구개발특구기관장협의회(연기협), 대전관광공사, 한국과학기술단체총연합회",대덕특구,국립중앙과학관 사이언스홀,기타,#세계과학문화포럼,2023-10-20,2023-10-21
625,연구개발특구진흥재단,세종 스타트업위크 2023,"세종특별자치시, 중소벤처기업부",대덕특구,어반아트리움 중앙광장,기타,#세종 #스타트업위크,2023-10-04,2023-10-09
626,연구개발특구진흥재단,2023년 광주특구 산-학/연 공동연구 매칭데이(3차),"연구개발특구진흥재단, 특허법인 아이엠, 전남대기술지주회사",광주특구,광주이노비즈센터 2층 대회의실2,기타,#기술이전 #광주특구 #기술사업화 #과학기술,2023-09-26,2023-09-26
627,연구개발특구진흥재단,차세대발사체 체계종합기업 선정 관련 기업체 간담회,한국항공우주연구원,대덕특구,KT 대전 인재개발원,"IT,기타",#차세대발사체 ,2023-10-04,2023-10-04
628,연구개발특구진흥재단,네이처 포럼(Nature Forum),한국과학기술정보연구원,대덕특구,한국과학기술회관 B1 대회의실,"BT,기타",#네이처 포럼,2023-10-05,2023-10-05
629,연구개발특구진흥재단,2023년도 제2차 기술교류회,세계김치연구소,대덕특구,광명역 KTX 회의실(KTX실),"IT,기타",#기술교류회,2023-10-06,2023-10-06
630,연구개발특구진흥재단,UST 2024학년도 전기 신입생 모집,한국기초과학지원연구원,대덕특구,온라인,기타,#UST,2023-10-12,2023-11-01
631,연구개발특구진흥재단,직물 분해·설계 시스템 활용 직물 빅데이터 구축과 AI활용 조직분해설계 교육,한국생산기술연구원,대덕특구,YBM the Biz 강남교육연수센터,"IT,기타",#직물 #분해·설계 #시스템,2023-10-20,2023-10-20
632,연구개발특구진흥재단,2023년 추석맞이 체험행사  「추석에는 과학관으로 출석첵크」,국립부산과학관,부산특구,국립부산과학관,기타,#추석맞이 #체험행사,2023-09-28,2023-10-01
633,연구개발특구진흥재단,2023년 세계우주주간 기념 한국행사 특별강연,국립광주과학관,광주특구,국립광주과학관 상상홀,"IT,기타",#세계 #우주주간,2023-10-07,2023-10-07
634,연구개발특구진흥재단,사이언스 펀데이,국립대구과학관,대구특구,국립대구과학관,기타,#사이언스 #펀데이,2023-10-01,2023-10-03
635,연구개발특구진흥재단,2023 유네스코 미디어아트 창의도시 국제포럼,광주미디어아트플랫폼,광주특구,광주시립미술관 강당 (2F),기타,#창의도시,2023-10-05,2023-10-05
